GISID,mapId,mapcoords_,mapcoords1,Colony
16995,288755,166.7594845,-77.66969968,Turks Head Tryggve
17017,289184,166.8946679,-77.70539006,South Base
17027,289310,166.7401726,-77.65594546,Turks Head Tryggve
17028,289327,166.7981083,-77.6641998,Turks Head Tryggve
17040,289557,166.7208607,-77.66144896,Turks Head Tryggve
17068,290223,166.7015488,-77.6641998,Turks Head Tryggve
17072,290357,166.856044,-77.7273028,Hutton Cliffs
17109,290976,166.9139798,-77.69990586,South Base
17123,291498,166.7981083,-77.7464449,Turtle Rock
17135,291641,166.8946679,-77.70813126,South Base
17148,291854,166.9139798,-77.70813126,South Base
17152,291872,166.856044,-77.71909003,Hutton Cliffs
17154,291898,166.8367321,-77.73551016,Hutton Cliffs
17157,291911,166.7208607,-77.6641998,Turks Head Tryggve
17158,291929,166.8946679,-77.70264826,South Base
17159,291985,166.7981083,-77.66969968,Turks Head Tryggve
17174,292329,166.8174202,-77.6641998,Turks Head Tryggve
17175,292331,166.7208607,-77.66695004,Turks Head Tryggve
17177,292361,166.6822369,-77.65869751,Turks Head Tryggve
17197,292817,166.7594845,-77.74097873,Turtle Rock
17248,293839,166.7594845,-77.6641998,Turks Head Tryggve
17258,294179,166.7594845,-77.74917708,Turtle Rock
17262,294227,166.8367321,-77.73277497,Hutton Cliffs
17264,294238,166.7208607,-77.65869751,Turks Head Tryggve
17276,294460,166.7787964,-77.66969968,Turks Head Tryggve
17278,294470,166.7401726,-77.66969968,Turks Head Tryggve
17297,294832,166.7981083,-77.74371211,Turtle Rock
17304,294895,166.856044,-77.73003919,Hutton Cliffs
17312,295116,166.8367321,-77.72456581,Hutton Cliffs
17325,295504,166.7981083,-77.66695004,Turks Head Tryggve
17346,295879,166.7594845,-77.74371211,Turtle Rock
17349,295898,166.7401726,-77.65869751,Turks Head Tryggve
17354,296137,166.8174202,-77.66144896,Turks Head Tryggve
17369,296512,166.7015488,-77.65594546,Turks Head Tryggve
17394,296904,166.7594845,-77.7464449,Turtle Rock
17397,297080,166.7594845,-77.65869751,Turks Head Tryggve
17418,297458,166.7787964,-77.73824474,Turtle Rock
17425,297701,166.8174202,-77.66969968,Turks Head Tryggve
17433,297826,166.9139798,-77.70539006,South Base
17435,297857,166.7787964,-77.7464449,Turtle Rock
32846,491690,166.7768645,-77.66896816,Turks Head Tryggve
32860,491946,166.8541122,-77.72109975,Hutton Cliffs
32861,491994,166.9120479,-77.69917611,South Base
32881,492628,166.7189288,-77.66346796,Turks Head Tryggve
32884,492689,166.892736,-77.70466063,South Base
32895,492928,166.7575526,-77.65796535,Turks Head Tryggve
32904,493229,166.9120479,-77.70466063,South Base
32934,493901,166.7575526,-77.66071696,Turks Head Tryggve
32963,494614,166.8348003,-77.73478248,Hutton Cliffs
32990,495128,166.7961764,-77.66621836,Turks Head Tryggve
33017,495859,166.680305,-77.65521314,Turks Head Tryggve
33021,495902,166.8541122,-77.72657464,Hutton Cliffs
33023,495922,166.7189288,-77.66621836,Turks Head Tryggve
33032,496081,166.7382407,-77.65796535,Turks Head Tryggve
33059,496798,166.7961764,-77.66896816,Turks Head Tryggve
